Name,Age,Nationality
L. Kryeziu,19,Kosovo
J. Lyden,22,Australia
K. Hansen,17,Norway
Y. Yakovenko,24,Ukraine
B. Sabovic,20,Sweden
F. Irie,20,Ivory Coast
S. Hornby,23,England
D. Padilla,24,Colombia
M. Bakhit,26,Saudi Arabia
S. Sosa,19,Argentina
F. Mveng,26,Switzerland
M. Velázquez,27,Mexico
Nuno Malheiro,24,Portugal
K. Devaney,27,Republic of Ireland
Zhang Jiaqi,26,China PR
Oleaga,21,Spain
J. Kristoffersen,21,Norway
F. Şimşek,20,Germany
R. Singh,28,India
M. Smith,22,England
M. Čović,20,Germany
Z. de la Paz,23,Curacao
N. Sugai,33,Japan
K. Ikeda,31,Japan
M. Fonseca,22,Argentina
Y. Roemer,16,Netherlands
R. Simpson,33,England
Kim Gyeong Jae,24,Korea Republic
Jeong Seung Won,21,Korea Republic
M. Šverko,20,Croatia
T. Corbaz,24,Switzerland
R. Marín,20,Mexico
B. Lika,25,Switzerland
N. Baumann,22,Switzerland
M. Kamenz,19,Germany
Wang Wei,29,China PR
K. Sidibé,19,France
A. Ramalingom,25,France
Zhou Liao,29,China PR
K. Madianga,24,France
K. Grabara,19,Poland
I. Al Shuayl,23,Saudi Arabia
P. Gehrmann,23,Germany
T. Weiner,19,Germany
O. Al Khalaf,21,Saudi Arabia
V. Kušej,18,Czech Republic
F. Manzo,19,Chile
B. Chorbadzhiyski,22,Bulgaria
A. Sissoko,21,France
D. Olsson,21,Sweden
P. McClean,21,Republic of Ireland
D. Horkaš,19,Croatia
T. Enomoto,35,Japan
S. Sidler,19,Switzerland
C. Kühlwetter,22,Germany
A. Busti,18,Canada
A. Mitchell,22,New Zealand
E. Robson,21,England
Moon Jeong In,20,Korea Republic
Gao Jiarun,23,China PR
D. Pender,33,Republic of Ireland
A. Gamboa,19,Costa Rica
E. Henschel,21,Germany
J. Abbel,19,Netherlands
A. Al Amri,21,Saudi Arabia
Han Seung Wook,22,Korea Republic
K. Eek,30,Norway
C. Manley,22,United States
J. Peñaloza,18,Colombia
D. Martinović,21,Croatia
T. Müsel,18,Germany
E. Coronel,21,Argentina
W. Ditta,21,Colombia
J. Andersson,23,Sweden
Lee Sang Hyeob,28,Korea Republic
R. Sykes,19,England
P. Kucharczyk,21,Poland
P. Bucha,20,Czech Republic
J. Wrąbel,22,Poland
K. Colvey,24,New Zealand
O. Al Sunain,23,Saudi Arabia
B. Wilmot,18,England
S. Kelly,24,England
M. Bachini,23,Italy
Iván Jaime,17,Spain
R. Armand,31,France
C. Dunn,30,England
Oh Inpyo,21,Korea Republic
M. Tyler,41,England
R. Ariza,20,Colombia
B. Murphy,33,Republic of Ireland
N. Tenaglia,22,Argentina
J. Meier,18,Germany
B. Goller,19,Germany
N. Yamada,27,Japan
P. Arredondo,23,Chile
C. Mitchell,22,Northern Ireland
K. Taylor,18,England
F. Hollinger-Janzen,24,Benin
M. Baghdadi,21,Germany
O. Sterling-James,24,St Kitts Nevis
Yang Ting,25,China PR
K. Kaïboue,19,France
V. Burgoa,17,Argentina
Pol Moreno,24,Spain
M. Blakstad,24,Norway
S. Tigges,19,Germany
S. Abdullah,29,Saudi Arabia
A. Lewis,20,Wales
C. Kablan,23,Switzerland
O. Bertel,21,Colombia
J. Bridge,22,England
Song Wenjie,27,China PR
H. Konaté,23,Ivory Coast
L. Zigi,21,Ghana
Raúl Sánchez,20,Spain
A. Önal,22,Turkey
A. Casco,21,Argentina
L. Forte,23,Italy
D. Cawley,26,Republic of Ireland
Che Shiwei,21,China PR
K. Malinov,24,Bulgaria
F. Bjørkan,19,Norway
J. Córdova,23,Canada
T. Marsh,24,England
L. Merolla,23,Argentina
V. Wojtkowiak,21,France
G. Verón,17,Argentina
R. Meraz,18,Mexico
Ou Ya,32,China PR
T. Miyazaki,31,Japan
J. Al Shammari,26,Saudi Arabia
C. Wood,21,England
F. Pintos,25,Uruguay
Maikel Santana,26,Spain
K. Hoffmann,23,Germany
J. Gies,23,Germany
I. Arai,24,Japan
A. Kecskés,22,Hungary
Li Benjian,32,China PR
Cha Yeong Hwan,27,Korea Republic
M. Sawa,35,Japan
Sergio Gónzalez,21,Spain
W. Burger,17,Netherlands
A. Hernández,20,Mexico
A. Hadzic,19,Norway
O. Ashoor,28,Saudi Arabia
E. Sonupé,22,England
Alberto González,21,Spain
W. Patching,19,England
M. Kremer,28,Germany
J. Vergara Berrio,19,Netherlands
D. Wright,20,England
E. Louro,22,United States
K. Alexandersson,25,Sweden
N. Konstandopoulos,22,Australia
S. Seferings,22,Germany
C. Estrada,21,Mexico
I. El Kabbou,18,Morocco
B. Mensah,23,England
Cui Peng,31,China PR
Zhang Wei,25,China PR
F. López,20,Argentina
T. van den Belt,17,Netherlands
Tan Wangsong,32,China PR
D. Rosin,22,Germany
M. Lund,22,Denmark
M. Busi,18,Belgium
D. Blazevic,25,Sweden
D. Chambost,20,France
S. Shearer,37,Scotland
M. Steeves,23,United States
A. Ceylan,20,Germany
Samu Pérez,21,Spain
R. Williams,27,England
D. Shiels,33,Northern Ireland
N. Okafor,18,Switzerland
S. Briñone,21,Argentina
N. Maeda,23,Japan
O. Ökke,22,Turkey
A. Lotti,22,Argentina
E. Lara,18,Mexico
E. Salles,24,France
N. Ofoborh,18,Nigeria
J. Sotirio,22,Australia
A. Didic,23,Canada
L. Kryger,35,Denmark
R. Willmott,28,England
B. McGrath,27,Australia
B. Provoste,18,Chile
F. Brorsson,21,Sweden
Zhang Yi,24,China PR
P. Mullin,23,England
T. Hadler,21,England
R. Goteni,22,Congo
A. Ikedi,19,Nigeria
A. Najem,23,Afghanistan
M. Ortíz,24,Argentina
J. Díaz Price,19,Mexico
S. Duggan,29,Republic of Ireland
M. Šarkić,20,Montenegro
P. Sussek,18,Germany
K. Pytlik,20,Poland
N. Alioui,19,France
A. Racioppi,19,Switzerland
Kim Yeong Bin,26,Korea Republic
M. Hamrol,24,Germany
J. Cataldi,19,Argentina
S. Kaya,22,Turkey
C. Veerachat,22,Thailand
R. Rösch,19,Germany
D. Clarke,25,Republic of Ireland
J. Maguire,22,England
Myeong Joon Jae,23,Korea Republic
A. Romero,20,United States
M. Segbers,22,United States
A. Çelebi,19,Turkey
F. Arhin,19,Ghana
E. Opoku,20,Ghana
J. Kirkpatrick,26,Scotland
T. Wiesner,21,Germany
E. Steen,24,Norway
L. Mandeville,21,England
K. Ødemarksbakken,22,Norway
F. Serraiocco,24,Italy
H. Sarpei,19,Ghana
N. Sandberg,23,Norway
I. Aliseda,18,Argentina
F. Dahmen,20,Germany
K. Irep,22,France
M. Flynn,37,Wales
B. Mugabi,23,Uganda
P. Menzel,19,Germany
D. Fontani,21,France
A. Nava,18,Mexico
G. Della Bernardina,19,Italy
E. Alvarado,20,United States
A. McGowan,21,England
S. Joss,23,Switzerland
João Virgínia,18,Portugal
N. Lüchinger,23,Switzerland
Y. Mabella,22,France
R. Hale,19,Republic of Ireland
E. Embleton,19,England
N. Nasseri,21,England
C. Elva,21,Canada
V. Stenzel,21,Germany
I. Al Talhi,23,Saudi Arabia
A. Mumin,20,Ghana
Paulo Alves,20,Portugal
Y. Armougom,20,France
T. Kucz,18,Poland
S. Sy,19,France
M. McKee,19,Northern Ireland
Cui Yongzhe,31,China PR
S. Bengriba,37,France
T. Yanagi,20,Japan
J. Bekkema,22,Netherlands
A. Al Yami,21,Saudi Arabia
Ding Jie,31,China PR
J. Bednarczyk,19,Poland
J. Ingham,24,New Zealand
G. Quezada,21,Ecuador
M. Fallatah,22,Saudi Arabia
F. Agu,18,Germany
R. Polley,19,Netherlands
I. Chair,20,Belgium
I. Khemis,22,Tunisia
M. Álvarez,24,Colombia
O. Brynhildsen,19,Norway
R. Al Hafizi,22,Saudi Arabia
M. Rosas,20,Chile
J. Torres,21,Colombia
B. Dennehy,31,Republic of Ireland
J. Martin,29,England
E. Whitehouse,24,England
M. Quiñones,22,Colombia
R. Keskin,19,Turkey
Zhang Li,28,China PR
A. Lacey,25,England
J. Shipley,20,Republic of Ireland
L. Fadinger,17,Austria
P. Gómez,20,Argentina
M. Kudus,17,Ghana
J. Maxted,24,England
Chu Jinzhao,25,China PR
J. Medina,27,Mexico
L. Ndenbe,18,Belgium
Dai Wai-Tsun,18,Hong Kong
M. Virtue,21,England
M. Curry,18,England
F. Castro,23,Uruguay
L. Weinkauf,21,Germany
S. Wilson,25,England
M. Andersson,37,Sweden
T. Wiesner,20,Czech Republic
B. Wright,23,Canada
C. Holse,19,Denmark
S. Vidal,22,France
M. Kelly,20,Scotland
H. Andersson,19,Sweden
A. DeJohn,27,United States
T. Klupś,18,Poland
K. O'Hara,22,Republic of Ireland
T. Mølgaard,21,Denmark
S. Singh,22,India
H. Benkaïd,28,France
Obama,18,Spain
J. Falkmar,26,Sweden
N. Bazan,19,Argentina
Y. Takaoka,22,Japan
D. Nasu,36,Japan
D. Conner,24,United States
S. Kodama,19,Japan
A. Thapa,20,India
S. Farhan,21,Saudi Arabia
A. Ablet,31,China PR
Yoo Ji Ha,19,Korea Republic
M. López,27,Colombia
K. Huntelaar,19,Netherlands
J. Atanasov,18,FYR Macedonia
K. Leidsman,19,Netherlands
M. Spasic,20,Serbia
C. Topaloglu,26,Turkey
D. Jarvis,26,Northern Ireland
P. Esquivel,24,Mexico
S. Mandash,23,Saudi Arabia
A. Abdellaoui,25,Algeria
D. Bajselmani,19,Netherlands
E. Ferigra,19,Ecuador
J. Turley,28,England
A. Barreal,17,Argentina
F. Pasqualoni,21,Italy
L. Tempelmann,19,Germany
Ahn Seong Nam,34,Korea Republic
Kang Bong Gyun,24,Korea Republic
D. García,21,Argentina
T. Rotter,26,Austria
M. Kadlec,18,Austria
S. Serderov,24,Russia
A. Jędrych,26,Poland
J. Muscatt,20,England
M. Daly,17,England
T. De Bie,21,Belgium
E. Elizalde,18,Uruguay
G. León,18,Mexico
S. Çetin,17,Germany
A. Urzi,18,Argentina
J. Dunleavy,26,Republic of Ireland
A. Al Saluli,19,Saudi Arabia
K. Chvedukas,27,Lithuania
A. Al Dawsari,20,Saudi Arabia
E. Korkmaz,21,Netherlands
J. Galetto,21,Argentina
S. Russell,35,England
O. Sail,22,New Zealand
M. Hudson,19,England
N. Bizet,21,France
Madger Gomes,21,Spain
Iker Goujón,18,Spain
F. Bin Jamayah,23,Saudi Arabia
N. Anderton,22,England
C. Storm,23,United States
J. Bruhns,19,Germany
E. Ybáñez,19,Argentina
E. Karic,21,Austria
L. Ridehalgh,27,England
J. Bolado,20,Argentina
A. Riemann,26,Germany
A. Gogić,24,Cyprus
L. Béland-Goyette,22,Canada
E. Pálsson,25,Iceland
Lee Tae Hee,26,Korea Republic
K. Yajima,23,Japan
M. Hoxha,18,Belgium
K. McFarlane,21,England
F. Rieder,22,Austria
C. Kpekawa,22,England
C. Tiéhi,20,Ivory Coast
J. Flatt,23,England
T. Matthews,17,South Africa
J. Hodgkiss,31,England
C. Arroyave,22,Colombia
J. Heil,21,Austria
A. Jakubiak,21,Scotland
K. Reaves,22,United States
V. Baume,21,Belgium
R. Morishita,19,Japan
A. Awad,26,Sweden
A. Al Shamrani,24,Saudi Arabia
G. Azzinnari,17,Italy
O. Drost,22,Denmark
J. Caprice,25,England
Zhang Lu,30,China PR
A. Mendy,23,Senegal
G. Blackwood,21,Australia
M. Johansson,19,Sweden
J. Hanato,28,Japan
M. Clark,19,Wales
B. Mines,18,United States
Kwon Tae Ahn,26,Korea Republic
C. Baker-Richardson,22,England
B. Varga,24,Hungary
S. Akgün,18,Turkey
S. Long,23,Republic of Ireland
M. Folivi,20,England
M. Rayman,21,Saudi Arabia
B. Thomas-Asante,19,England
Y. Begraoui,16,France
A. Fleming,30,England
Guille Lara,22,Spain
W. Wood,21,England
F. Ghazi,24,Saudi Arabia
N. Córdova,20,Chile
Jin Pengxiang,28,China PR
Kim Bo Seop,20,Korea Republic
S. Acka,27,Ivory Coast
E. Celebi,18,Germany
E. Dabo,22,Senegal
Mello,25,Brazil
Yang Boyu,29,China PR
A. Collins,21,Wales
P. Kasim,21,Ghana
T. Abdullah,22,Saudi Arabia
M. Crocombe,24,New Zealand
E. Næsbak Brenden,24,Norway
J. O'Doherty,20,Australia
Fernando Costanza,19,Brazil
M. Acton,26,Australia
F. Lobos,19,Chile
K. Tokushige,34,Japan
J. Serafin,22,Poland
N. Sutter,23,Switzerland
C. O'Hare,20,England
M. Carreazo,20,Venezuela
R. Aoki,22,Japan
F. Camara,20,Guinea
N. Trott,19,England
I. Boye,21,Nigeria
Y. Goke,19,Japan
Wang Qiuming,25,China PR
H. Sandvik,28,Norway
Park Jung Soo,31,Korea Republic
M. Vano,26,Italy
M. Rieder,18,Netherlands
J. Hooper,24,England
Sun Bo,27,China PR
L. Hupfauf,21,Austria
Mollejo,17,Spain
V. Oliver,26,England
M. Kuchta,22,Poland
Cao Haiqing,24,China PR
A. Banasiak,28,Poland
Pedro Goulart,20,Mexico
Song Long,28,China PR
J. Lahne,16,Sweden
M. García,22,Argentina
R. McKenzie,19,England
D. Franke,19,Germany
M. Cavalleri,20,Chile
A. Beyazıt,21,Germany
A. Grijalva,17,Mexico
D. Klomp,19,Netherlands
J. Keatings,26,Scotland
P. Di Nardo,28,Switzerland
A. Baroan,18,France
C. Lattanzio,20,Argentina
M. Candlin,18,England
R. Menayese,20,Wales
J. Thompson,21,Northern Ireland
H. Smith,23,England
Liu Ruofan,19,China PR
D. Jajic,19,Sweden
L. Fesser,23,Germany
J. Brown,20,England
M. Nilor,20,France
I. Mensah,23,Ghana
V. Fernández,19,Chile
D. Richards,24,Wales
H. Castegren,22,Sweden
I. Oda,19,Japan
L. Cacace,17,New Zealand
E. Veiga,21,Luxembourg
R. Cornwall,23,Republic of Ireland
J. Mbom,18,Germany
S. van Dijck,17,Netherlands
D. Gremsl,25,Austria
M. Bevan,21,New Zealand
S. Friede,20,Germany
A. Guiffrey,20,Argentina
M. Sætra,21,Norway
H. Magnetti,20,France
S. Abraham,27,Sweden
G. Buon,20,France
D. Morrissey,24,Republic of Ireland
G. Akkan,19,Turkey
L. Espinoza,25,Chile
J. Requena,22,Argentina
C. Mbulu,21,England
G. Cuomo,20,Italy
A. Gürleyen,19,Germany
L. Jones,22,England
R. Gondoh,21,England
N. Hunziker,22,Switzerland
T. Reithmeir,18,Germany
L. Barreiro Martins,18,Luxembourg
J. Clarke,28,England
Zheng Tao,32,China PR
M. Guehi,17,England
R. Prieto,21,Mexico
I. Meite,21,England
A. Amade,18,Germany
L. Krüger,18,Germany
K. Balogiannis,19,Greece
F. Due,25,Denmark
L. Saxton,28,England
C. James,20,England
M. Rafique,25,India
P. Cherrie,34,Scotland
E. Stokes,22,Republic of Ireland
S. Al Hamdan,26,Saudi Arabia
C. Moya,20,Chile
A. Xhemajli,20,Kosovo
A. Buxton,26,England
M. Gillesphey,22,England
G. Banaziak,21,France
A. Singh,25,India
D. Sváček,21,Czech Republic
D. Sauerland,21,Germany
G. Kelly,21,Republic of Ireland
Y. Fujita,35,Japan
S. Duke-McKenna,17,England
D. Mosquera,22,Colombia
K. Majić,20,Croatia
A. Al Ghamdi,23,Saudi Arabia
M. Real,18,United States
F. Schwarzholz,18,Germany
A. Majrashi,22,Saudi Arabia
E. Maceira,22,Venezuela
Pei Shuai,25,China PR
D. Nizic,23,Australia
F. Al Habib,20,Saudi Arabia
J. Archer,24,England
Li Guang,27,China PR
E. Osadebe,21,Republic of Ireland
Du Wenyang,28,China PR
B. Singh,31,India
E. Granat,22,Sweden
V. Cordoba,30,Colombia
L. Schelenz,19,Germany
A. Morley,18,England
M. Nikolić,20,Sweden
J. Pestaña,20,Colombia
E. Dick,23,United States
B. Williams,35,England
J. Tilley,20,England
Liu Yingchen,25,China PR
C. Antwi,18,Ghana
J. Albrecht,20,Germany
J. Sands,17,United States
J. Muñoz,24,Colombia
J. Hoekstra,19,Netherlands
K. Niemczycki,18,Poland
M. Al Subaie,22,Saudi Arabia
Park Ji Min,18,Korea Republic
H. Al Ghamdi,19,Saudi Arabia
S. Ucar,19,Turkey
N. Quindt,21,Germany
M. Kahrıman,18,Turkey
S. Gubari,22,Iraq
L. Mulaj,19,Switzerland
Z. Herivaux,22,Haiti
G. McGregor,19,England
T. Campbell,21,England
K. Kesgin,17,Turkey
M. Staniszewski,21,Poland
Y. Fortune,19,France
T. Cuello,18,Argentina
Pedro Gonçalves,20,Portugal
K. Ayong,20,Czech Republic
L. Italiano,27,Australia
J. Powell,19,England
M. Urynowicz,22,Poland
E. Navarrete,22,Chile
T. Vassell,21,England
T. Cordner,19,England
G. Tryggvason,18,Iceland
C. Higuera,17,Mexico
M. Onuoha,19,Germany
A. Bacci,22,Italy
J. Hodek,20,Germany
Y. Letard,19,France
Han Xuan,27,China PR
R. Isomura,27,Japan
I. Lara,22,Chile
J. Jaime,20,Argentina
F. Al Sagour,22,Saudi Arabia
L. Hernández,20,Mexico
N. da Silva,24,Switzerland
R. Hirosue,19,Japan
L. Croll,23,England
T. Baack,19,Germany
K. Bucker,22,Netherlands
M. Miljevic,17,United States
M. Brink,20,Denmark
A. Bakayoko,20,France
W. Tchuameni,21,Cameroon
D. İncedere,21,Turkey
S. Kjellevold,23,Norway
J. Þorsteinsson,19,Iceland
M. Worthington,20,England
J. Tratt,23,Australia
J. Kelly,28,Republic of Ireland
L. Grill,19,Germany
D. Lyon,23,Scotland
F. Pizzicanella,22,Argentina
J. Pantemis,21,Canada
R. Wilmots,21,Belgium
E. Boyle,21,Republic of Ireland
M. Sprang,17,Germany
R. Acquah,21,Ghana
M. Wada,21,Japan
A. Canessa,18,Italy
R. Cagnon,21,France
M. Roerslev,19,Denmark
A. Azeez,24,England
M. Holzer,19,Austria
L. Travis,20,England
Mario Sánchez,22,Spain
Valery,18,Spain
R. Al Ghamdi,24,Saudi Arabia
C. Gutiérrez,19,Mexico
D. Webster,28,Republic of Ireland
Kim Hyo Gi,31,Korea Republic
J. Inamoto,38,Japan
J. McDonnell,24,England
W. Ali,19,Denmark
A. Jakobsen,19,Denmark
L. Bonilla,20,Colombia
T. Duman,20,Germany
M. Woud,19,New Zealand
J. Löwe,19,Germany
B. Rivas,21,Colombia
S. Cartwright,17,England
A. Ademoglu,20,Belgium
Y. Oyanedel,17,Chile
Lim Eun Soo,22,Korea Republic
R. van Doorn,19,Netherlands
J. Harris,31,England
José Uche,18,Spain
M. Arturia,20,Argentina
K. Goba,30,France
E. Bansen,20,Germany
J. Lunney,20,Republic of Ireland
M. Cooper,18,England
J. Orellana,21,Argentina
B. Kavlak,21,Turkey
G. Abregú,20,Argentina
J. Doona,20,Republic of Ireland
R. Blumberg,19,Australia
M. Panos,21,France
C. Coleman,21,Republic of Ireland
M. O'Riley,17,England
A. Gafaiti,23,Algeria
P. Edwards,32,England
G. Lapslie,20,England
M. Gonzalez,20,Chile
L. Ingolotti,18,Argentina
G. Pozos,25,Mexico
A. Aliev,21,Russia
M. Bauer,18,Germany
B. Sielewski,33,Poland
A. Talal,22,Morocco
K. Schlotterbeck,21,Germany
G. Kilama,19,Cameroon
J. Debayo,21,Nigeria
B. Chapman,19,England
V. Gendrey,18,France
Li Shenglong,25,China PR
M. Schlegel,21,Germany
S. Quigley,25,England
Y. Bangsow,20,Germany
M. Leahy,29,Republic of Ireland
S. Solli,20,Norway
M. Firlej,21,Poland
H. Bos,25,Netherlands
J. Bird,20,England
V. Arveladze,20,Georgia
K. Kirihata,31,Japan
A. Penny,21,Wales
J. von Moos,17,Switzerland
G. Boylan,22,Republic of Ireland
I. Chicco,22,Argentina
H. Arslan,29,Turkey
A. Nalic,20,Sweden
D. Rodríguez,20,Mexico
S. Karweina,19,Germany
Fabio,22,Brazil
M. Harness,22,England
C. Rzonca,21,England
A. Manzur,17,Argentina
S. Bone,19,England
T. Sopacua,18,Netherlands
H. Takimoto,21,Japan
Geng Xiaofeng,30,China PR
M. Soldo,21,Austria
K. Petratos,20,Australia
N. Giménez,21,Argentina
Wang Xiaole,21,China PR
L. Schaffran,19,Germany
A. Fox,25,England
R. Cooney,18,England
N. Samayoa,22,Guatemala
A. Soukouna,28,France
I. Bolaño,20,Argentina
K. Ogawa,20,Japan
K. Fegrouche,36,Morocco
Lee Ho Seok,27,Korea Republic
H. Balic,22,Bosnia Herzegovina
F. Lauenborg,21,Denmark
K. Saka,23,Japan
K. Buckley,26,Republic of Ireland
L. Scott,21,Australia
A. Torres,22,Mexico
S. McMann,21,Scotland
A. Rosteghin,18,Italy
A. Wheeler-Omiunu,23,United States
N. Awuku,18,Germany
B. García,20,Mexico
D. Riccardi,22,Italy
M. Meli,18,Italy
D. Petersson,23,Sweden
E. Pauchet,21,France
S. Farelli,35,Italy
E. Gründemann,19,Germany
M. Ludwig,19,Germany
E. Pletinckx,17,Belgium
A. Elyounoussi,19,Norway
M. Simakan,18,France
G. Kyrnats,20,Russia
S. Hiramatsu,25,Japan
N. Gómez,21,Argentina
N. Ralph,25,England
J. Italiano,16,Australia
A. Ceesay,24,Gambia
M. Awaji,23,Saudi Arabia
N. Baeza,21,Chile
C. Ross,24,Chile
Yuan Mincheng,22,China PR
C. Baldovino,21,Colombia
M. Rudakov,22,Russia
Han Rongze,25,China PR
J. Sbarra,19,England
F. Marín,20,Argentina
J. Romero,17,Argentina
R. Borkała,19,Poland
P. Magnon,22,France
Marcos Lavín,21,Spain
C. Quenum,25,France
Y. Akiyama,23,Japan
S. Parlati,21,Italy
A. Appiah,17,England
L. Klemenz,22,Poland
P. Tomczyk,20,Poland
A. Oteh,19,England
K. Hattanda,28,Japan
M. Bayo,20,France
H. Hyseni,25,Germany
N. D'Agostino,20,Australia
M. Jeahze,21,Sweden
N. Gallardo,20,Argentina
C. Trejo,18,Mexico
S. High,17,England
L. Maniero,19,Italy
M. Obiero,17,England
C. Maycock,20,England
T. Attis,18,Argentina
A. Tecpanécatl,20,Mexico
M. Talbi,20,France
E. Herrera,19,Colombia
J. Veyna,23,Mexico
M. Reinthaler,23,Italy
R. Benz,22,Germany
R. Fitzsimons,24,England
L. Desmond,23,Republic of Ireland
N. Strunck,18,Denmark
H. Arellano,20,United States
M. Sevimler,19,Turkey
D. Becker,20,Argentina
Kim Jung Ho,23,Korea Republic
B. Barclay,21,England
H. Marcelin,18,France
M. Jørgensen,17,Denmark
M. Beeney,22,England
R. Alm,22,Sweden
A. Bakir,17,Germany
M. Bassouamina,20,France
S. Bose,22,India
Maikel,28,Spain
J. Urzúa,18,Chile
B. Wiles,19,England
Park Ji Soo,24,Korea Republic
D. Liszka,18,Poland
M. Kumbulla,18,Albania
Cao Ziheng,23,China PR
Zhang Huachen,20,China PR
C. Okoroji,21,England
S. Wamangituka,18,Congo
R. Way,28,Australia
Y. Takeoka,32,Japan
P. Marie,23,France
M. Trovato,20,Italy
Y. Urra,21,Chile
A. Beestin,20,England
S. Kowalczyk,19,Poland
Zhang Xiuwei,22,China PR
Martín,18,Spain
S. Sessegnon,18,England
Javi Rubio,19,Spain
K. Lebon,20,France
C. Pring,20,England
N. Ennis,19,England
J. Krahl,18,Germany
H. Al Qahtani,23,Saudi Arabia
J. Hardy,19,England
S. Córdova,21,Mexico
Q. Roberts,23,Canada
Zhang Chenlong,25,China PR
J. Soñora,21,United States
A. Al Aryani,22,Saudi Arabia
S. Milewski,20,Poland
A. Ba Masoud,22,Saudi Arabia
B. Verbong,18,Netherlands
Ryang Yong Gi,36,Korea DPR
S. Micolta,18,Ecuador
C. Huanca,17,Chile
D. Grootenhuis,21,Netherlands
T. Righetti,20,Switzerland
Zhang Chong,30,China PR
G. Shaw,26,Republic of Ireland
P. Camará,21,Guinea Bissau
Y. Maeda,33,Japan
C. Galvin,22,Republic of Ireland
G. Smith,24,England
B. Stevenson,19,England
M. Yamada,23,Japan
J. Schau,19,Germany
D. Kelly,22,Republic of Ireland
S. Guðjohnsen,20,Iceland
W. Ebane,26,Gabon
Cao Yongjing,21,China PR
L. Kouagba,24,France
T. Abraham,17,England
Pablo Cacharrón,21,Spain
J. Rodríguez,25,Mexico
J. Doherty,22,Northern Ireland
T. Maya,21,Colombia
Du Changjie,20,China PR
J. Christensen,17,Denmark
J. Anthony,18,England
J. Boote,18,England
T. Odusina,18,England
M. Pattier,22,France
J. Cobián,19,Mexico
Gao Huaze,20,China PR
D. Sugioka,19,Japan
C. Månsson,37,Sweden
D. Villa,20,Mexico
R. Coughlan,21,Republic of Ireland
A. Álvarez,19,Colombia
A. Estupiñán,23,Colombia
T. Al Kaabi,26,Saudi Arabia
H. Rodgers,21,England
S. Shome,20,Canada
T. Matsumoto,19,Japan
M. İnan,18,Turkey
A. Little,21,England
J. Brinch,23,Denmark
J. Osei-Tutu,19,England
Y. Emghames,20,Germany
A. Björnström,22,Sweden
M. Donohue,20,England
M. Al Mufarrij,21,Saudi Arabia
D. Cornell,27,Wales
T. Baller,19,Germany
Park Kwang Il,27,Korea Republic
Javi López,17,Spain
M. Heča,27,Czech Republic
Y. Al Bakr,20,Saudi Arabia
A. Sebald,21,Germany
A. Gomez Mancini,17,France
S. Santoro,18,Italy
A. Ba,20,France
Gui Hong,23,China PR
R. Lowry,24,Australia
R. Tugarev,19,Russia
F. Ourega,25,France
M. Salaba,18,Austria
F. Maddaloni,23,France
A. Barnes,21,England
R. Emanuelsson,26,Sweden
T. Robinson,20,England
L. O'Brien,19,England
H. Evjen,18,Norway
E. Aiwu,17,Austria
M. Lund,21,England
E. Kaja,20,Albania
A. Curry,21,England
P. Sokołowski,23,Poland
A. Kaltoft,20,Denmark
E. Linthorst,18,Netherlands
B. Lekström,37,Sweden
L. Schneider,18,Germany
Han Feng,34,China PR
D. Ogawa,26,Japan
F. Quiroz,20,Chile
S. Steijn,16,Netherlands
L. Ketterer,24,United States
A. Nilsson,24,Sweden
L. Perrin,19,France
C. Coll,26,Republic of Ireland
C. Camacho,23,Mexico
S. Sørløkk,21,Norway
N. Awassi,20,Germany
R. Hirakawa,18,Japan
C. Cooke,25,England
P. van der Vlag,40,Netherlands
R. Borges,26,India
T. Nijhuis,19,Netherlands
L. Bogdan,22,Croatia
L. Wildin,20,Antigua & Barbuda
M. Lillebo,23,Norway
R. Kim,21,Russia
M. Irigoyemborde,23,France
T. Ominami,20,Japan
I. Angulo,19,Colombia
G. Carvajal,18,Colombia
C. Akono,18,Germany
S. Pabón,22,Colombia
C. Donovan,22,United States
Park Jung Ho,21,Korea Republic
R. Kehr,18,Germany
M. Soumaré,20,France
S. Pirkl,21,Austria
J. Senior,21,England
S. Jiménez,20,Colombia
T. Nagura,20,Japan
S. Seedorf,20,Netherlands
N. Böhmer,18,Germany
N. Insfrán,23,Argentina
J. Barjonas,19,Scotland
L. Ntumba,17,France
K. O'Connell,18,England
M. Bird,17,England
B. Tozer,28,England
M. Tokida,20,Japan
V. Vanbaleghem,21,France
H. Hawsawi,20,Saudi Arabia
B. Bashir,20,Saudi Arabia
G. Volpe,22,Italy
C. Manicone,20,Italy
M. Herrera,30,Colombia
J. Caballero,20,Colombia
Kim Min Jun,25,Korea Republic
S. Seddon,20,England
M. Al Mutairi,19,Saudi Arabia
M. Platt,20,England
E. Botheim,18,Norway
J. Quiñones,20,Colombia
Wang Guoming,28,China PR
A. Kabashi,21,Sweden
J. Chávez,21,Mexico
C. Weale,36,England
H. Abdelli,18,France
T. Golden,18,England
F. Godoy,18,Argentina
D. Tejeda,20,Mexico
M. Jay,22,England
S. Woods,19,England
D. Diani,20,France
O. Atilgan,18,Germany
M. Al Rubaie,20,Saudi Arabia
C. Fox,19,England
B. Vera,19,Colombia
L. Maloney,18,Germany
J. Pask,20,England
A. Errico,19,Italy
T. Moschión,18,Argentina
Y. Al Shammari,20,Saudi Arabia
F. Sollacaro,24,France
O. Mbaizo,20,Cameroon
O. Patiño,21,Colombia
